,1st Target,2nd Target,Primary Algorithm,Moves,Alternative Algorithm,Moves
338,DBR,LDF,,,,
339,DBR,FDL,,,,
340,DBR,DBL,,,,
341,DBR,BDL,,,,
342,DBR,LDB,,,,
343,RDB,UFR,,,,
344,RDB,RFU,,,,
345,RDB,FRU,,,,
346,RDB,UFL,,,,
347,RDB,FLU,,,,
348,RDB,LUF,,,,
349,RDB,UBR,,,,
350,RDB,BRU,,,,
351,RDB,RUB,,,,
352,RDB,DFR,,,,
353,RDB,FDR,,,,
354,RDB,RDF,,,,
355,RDB,DFL,,,,
356,RDB,LDF,,,,
357,RDB,FDL,,,,
358,RDB,DBL,,,,
359,RDB,BDL,,,,
360,RDB,LDB,,,,
361,BDR,UFR,,,,
362,BDR,RFU,,,,
363,BDR,FRU,,,,
364,BDR,UFL,,,,
365,BDR,FLU,,,,
366,BDR,LUF,,,,
367,BDR,UBR,,,,
368,BDR,BRU,,,,
369,BDR,RUB,,,,
370,BDR,DFR,,,,
371,BDR,FDR,,,,
372,BDR,RDF,,,,
373,BDR,DFL,,,,
374,BDR,LDF,,,,
375,BDR,FDL,,,,
376,BDR,DBL,,,,
377,BDR,BDL,,,,
378,BDR,LDB,,,,
